Psite:,1,MW =,"8,760,000",kWh/yr,,Wsite:,"10,000",L/yr,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MATLAB results,,,,,,,,,
County FIPS,Climate Zone,EWIF (L/kWh),EF (kg/kWh),AWARE-US CF,SWI (L/kWh),"CF, kg/yr","WF1,2","WSF, L/yr",,"CF, %","CF, color",,,,,,,FIPS,EWIF,EF,ACF,SWI,2.00E+00,7.47E-02,4.68E-07,4.26E-02,3.85E-07
1041,3A,1.938821038,0.550536572,0.373669577,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Crenshaw County, Alabama",61%,Y,1041,1,Alabama,AL,0,,1041,1.94E+00,5.51E-01,3.74E-01,5.17E-01,0,1.98E-08,5.16E-08,6.16E-08,9.28E-08
1043,3A,3.522873776,0.338804653,0.285669576,0.779760795,2.97E+06,3.09E+07,6.83E+06,"Cullman County, Alabama",38%,Y,1043,1,Alabama,AL,0,,1043,3.52E+00,3.39E-01,2.86E-01,7.80E-01,0,6.36E-08,1.38E-07,8.40E-08,6.41E-09
1045,3A,1.938821038,0.550592057,0.352751203,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Dale County, Alabama",61%,Y,1045,1,Alabama,AL,0,,1045,1.94E+00,5.51E-01,3.53E-01,5.17E-01,0,1.98E-08,7.89E-08,8.50E-09,9.28E-08
1047,3A,1.938821038,0.555384251,0.368618853,0.517070952,4.87E+06,1.70E+07,4.53E+06,"Dallas County, Alabama",62%,Y,1047,1,Alabama,AL,0,,1047,1.94E+00,5.55E-01,3.69E-01,5.17E-01,0,1.98E-08,8.77E-08,1.28E-07,9.28E-08
1049,3A,4.807709385,0.338556687,0.286370818,0.779760795,2.97E+06,4.21E+07,6.83E+06,"DeKalb County, Alabama",38%,Y,1049,1,Alabama,AL,0,,1049,4.81E+00,3.39E-01,2.86E-01,7.80E-01,0,8.00E-08,3.69E-08,6.29E-08,6.41E-09
1051,3A,1.938821038,0.559002326,0.368741033,0.517070952,4.90E+06,1.70E+07,4.53E+06,"Elmore County, Alabama",62%,Y,1051,1,Alabama,AL,0,,1051,1.94E+00,5.59E-01,3.69E-01,5.17E-01,0,1.98E-08,4.72E-08,8.95E-08,9.28E-08
1053,3A,1.938821038,0.550536572,0.291987514,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Escambia County, Alabama",61%,Y,1053,1,Alabama,AL,0,,1053,1.94E+00,5.51E-01,2.92E-01,5.17E-01,0,1.98E-08,5.16E-08,4.79E-08,9.28E-08
1055,3A,1.938821038,0.465778364,0.307727463,0.687173942,4.08E+06,1.70E+07,6.02E+06,"Etowah County, Alabama",52%,Y,1055,1,Alabama,AL,0,,1055,1.94E+00,4.66E-01,3.08E-01,6.87E-01,0,1.98E-08,7.79E-08,1.20E-07,6.11E-08
1057,3A,2.238038167,0.462538028,0.293514213,0.687173942,4.05E+06,1.96E+07,6.02E+06,"Fayette County, Alabama",51%,Y,1057,1,Alabama,AL,0,,1057,2.24E+00,4.63E-01,2.94E-01,6.87E-01,0,7.48E-08,6.13E-08,4.43E-08,6.11E-08
1059,3A,3.522873776,0.338804653,0.311056055,0.779760795,2.97E+06,3.09E+07,6.83E+06,"Franklin County, Alabama",38%,Y,1059,1,Alabama,AL,0,,1059,3.52E+00,3.39E-01,3.11E-01,7.80E-01,0,6.36E-08,1.38E-07,1.45E-07,6.41E-09
1061,3A,1.938821038,0.550536572,0.340640085,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Geneva County, Alabama",61%,Y,1061,1,Alabama,AL,0,,1061,1.94E+00,5.51E-01,3.41E-01,5.17E-01,0,1.98E-08,5.16E-08,4.40E-08,9.28E-08
1063,3A,2.238038167,0.462797817,0.308734103,0.687173942,4.05E+06,1.96E+07,6.02E+06,"Greene County, Alabama",51%,Y,1063,1,Alabama,AL,0,,1063,2.24E+00,4.63E-01,3.09E-01,6.87E-01,0,7.48E-08,3.71E-08,9.72E-09,6.11E-08
1065,3A,2.238038167,0.442883068,0.308363131,0.687173942,3.88E+06,1.96E+07,6.02E+06,"Hale County, Alabama",49%,Y,1065,1,Alabama,AL,0,,1065,2.24E+00,4.43E-01,3.08E-01,6.87E-01,0,7.48E-08,7.20E-08,1.01E-07,6.11E-08
1067,3A,1.938821038,0.550536572,0.388203763,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Henry County, Alabama",61%,Y,1067,1,Alabama,AL,0,,1067,1.94E+00,5.51E-01,3.88E-01,5.17E-01,0,1.98E-08,5.16E-08,9.53E-08,9.28E-08
1069,3A,1.938821038,0.56510516,0.354343808,0.517070952,4.95E+06,1.70E+07,4.53E+06,"Houston County, Alabama",63%,Y,1069,1,Alabama,AL,0,,1069,1.94E+00,5.65E-01,3.54E-01,5.17E-01,0,1.98E-08,7.12E-08,2.26E-08,9.28E-08
1071,3A,4.807709385,0.338804653,0.274426023,0.779760795,2.97E+06,4.21E+07,6.83E+06,"Jackson County, Alabama",38%,Y,1071,1,Alabama,AL,0,,1071,4.81E+00,3.39E-01,2.74E-01,7.80E-01,0,8.00E-08,1.38E-07,8.38E-08,6.41E-09
1073,3A,2.238038167,0.470566772,0.294894476,0.687173942,4.12E+06,1.96E+07,6.02E+06,"Jefferson County, Alabama",52%,Y,1073,1,Alabama,AL,0,,1073,2.24E+00,4.71E-01,2.95E-01,6.87E-01,0,7.48E-08,6.01E-08,8.14E-08,6.11E-08
1075,3A,2.238038167,0.45717855,0.300595907,0.687173942,4.00E+06,1.96E+07,6.02E+06,"Lamar County, Alabama",51%,Y,1075,1,Alabama,AL,0,,1075,2.24E+00,4.57E-01,3.01E-01,6.87E-01,0,7.48E-08,1.09E-07,2.33E-08,6.11E-08
1077,3A,4.807709385,0.323240883,0.282469735,0.779760795,2.83E+06,4.21E+07,6.83E+06,"Lauderdale County, Alabama",36%,Y,1077,1,Alabama,AL,0,,1077,4.81E+00,3.23E-01,2.82E-01,7.80E-01,0,8.00E-08,5.24E-08,1.24E-07,6.41E-09
1079,3A,3.522873776,0.338804653,0.282965572,0.779760795,2.97E+06,3.09E+07,6.83E+06,"Lawrence County, Alabama",38%,Y,1079,1,Alabama,AL,0,,1079,3.52E+00,3.39E-01,2.83E-01,7.80E-01,0,6.36E-08,1.38E-07,9.90E-08,6.41E-09
1081,3A,1.938821038,0.563420921,0.390807764,0.517070952,4.94E+06,1.70E+07,4.53E+06,"Lee County, Alabama",62%,Y,1081,1,Alabama,AL,0,,1081,1.94E+00,5.63E-01,3.91E-01,5.17E-01,0,1.98E-08,3.69E-08,9.21E-08,9.28E-08
1083,3A,4.807709385,0.320846384,0.280369963,0.779760795,2.81E+06,4.21E+07,6.83E+06,"Limestone County, Alabama",36%,Y,1083,1,Alabama,AL,0,,1083,4.81E+00,3.21E-01,2.80E-01,7.80E-01,0,8.00E-08,5.03E-08,1.32E-07,6.41E-09
1085,3A,1.938821038,0.556229902,0.377137223,0.517070952,4.87E+06,1.70E+07,4.53E+06,"Lowndes County, Alabama",62%,Y,1085,1,Alabama,AL,0,,1085,1.94E+00,5.56E-01,3.77E-01,5.17E-01,0,1.98E-08,3.67E-09,6.10E-08,9.28E-08
1087,3A,1.938821038,0.462441964,0.395795002,0.687173942,4.05E+06,1.70E+07,6.02E+06,"Macon County, Alabama",51%,Y,1087,1,Alabama,AL,0,,1087,1.94E+00,4.62E-01,3.96E-01,6.87E-01,0,1.98E-08,7.69E-08,5.05E-09,6.11E-08
1089,3A,4.807709385,0.338791721,0.270821774,0.779760795,2.97E+06,4.21E+07,6.83E+06,"Madison County, Alabama",38%,Y,1089,1,Alabama,AL,0,,1089,4.81E+00,3.39E-01,2.71E-01,7.80E-01,0,8.00E-08,6.20E-08,9.60E-08,6.41E-09
1091,3A,2.238038167,0.464574493,0.32345939,0.687173942,4.07E+06,1.96E+07,6.02E+06,"Marengo County, Alabama",51%,Y,1091,1,Alabama,AL,0,,1091,2.24E+00,4.65E-01,3.23E-01,6.87E-01,0,7.48E-08,1.58E-08,3.09E-08,6.11E-08
1093,3A,2.238038167,0.465255385,0.293506495,0.687173942,4.08E+06,1.96E+07,6.02E+06,"Marion County, Alabama",52%,Y,1093,1,Alabama,AL,0,,1093,2.24E+00,4.65E-01,2.94E-01,6.87E-01,0,7.48E-08,3.27E-08,1.70E-08,6.11E-08
1095,3A,3.522873776,0.334692678,0.281033887,0.779760795,2.93E+06,3.09E+07,6.83E+06,"Marshall County, Alabama",37%,Y,1095,1,Alabama,AL,0,,1095,3.52E+00,3.35E-01,2.81E-01,7.80E-01,0,6.36E-08,6.68E-08,4.63E-08,6.41E-09
1097,2A,2.238038167,0.47063369,0.238381575,0.687173942,4.12E+06,1.96E+07,6.02E+06,"Mobile County, Alabama",52%,Y,1097,1,Alabama,AL,0,,1097,2.24E+00,4.71E-01,2.38E-01,6.87E-01,0,7.48E-08,2.18E-08,1.05E-07,6.11E-08
1099,3A,1.938821038,0.465121161,0.327378676,0.687173942,4.07E+06,1.70E+07,6.02E+06,"Monroe County, Alabama",52%,Y,1099,1,Alabama,AL,0,,1099,1.94E+00,4.65E-01,3.27E-01,6.87E-01,0,1.98E-08,8.37E-08,7.33E-08,6.11E-08
1101,3A,1.938821038,0.550536572,0.383254835,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Montgomery County, Alabama",61%,Y,1101,1,Alabama,AL,0,,1101,1.94E+00,5.51E-01,3.83E-01,5.17E-01,0,1.98E-08,5.16E-08,9.13E-08,9.28E-08
1103,3A,4.807709385,0.325603103,0.271353177,0.779760795,2.85E+06,4.21E+07,6.83E+06,"Morgan County, Alabama",36%,Y,1103,1,Alabama,AL,0,,1103,4.81E+00,3.26E-01,2.71E-01,7.80E-01,0,8.00E-08,1.05E-08,8.48E-08,6.41E-09
1105,3A,1.938821038,0.457077643,0.3313781,0.687173942,4.00E+06,1.70E+07,6.02E+06,"Perry County, Alabama",51%,Y,1105,1,Alabama,AL,0,,1105,1.94E+00,4.57E-01,3.31E-01,6.87E-01,0,1.98E-08,9.32E-08,0.00E+00,6.11E-08
1107,3A,2.238038167,0.455674857,0.309994917,0.687173942,3.99E+06,1.96E+07,6.02E+06,"Pickens County, Alabama",51%,Y,1107,1,Alabama,AL,0,,1107,2.24E+00,4.56E-01,3.10E-01,6.87E-01,0,7.48E-08,9.43E-08,5.48E-08,6.11E-08
1109,3A,1.938821038,0.550536572,0.368424947,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Pike County, Alabama",61%,Y,1109,1,Alabama,AL,0,,1109,1.94E+00,5.51E-01,3.68E-01,5.17E-01,0,1.98E-08,5.16E-08,1.28E-07,9.28E-08
1111,3A,1.938821038,0.554103847,0.346035652,0.517070952,4.85E+06,1.70E+07,4.53E+06,"Randolph County, Alabama",61%,Y,1111,1,Alabama,AL,0,,1111,1.94E+00,5.54E-01,3.46E-01,5.17E-01,0,1.98E-08,8.40E-08,1.39E-07,9.28E-08
1113,3A,1.938821038,0.555502872,0.419056137,0.517070952,4.87E+06,1.70E+07,4.53E+06,"Russell County, Alabama",62%,Y,1113,1,Alabama,AL,0,,1113,1.94E+00,5.56E-01,4.19E-01,5.17E-01,0,1.98E-08,4.98E-08,8.83E-08,9.28E-08
1115,3A,1.938821038,0.469451337,0.312249534,0.687173942,4.11E+06,1.70E+07,6.02E+06,"St. Clair County, Alabama",52%,Y,1115,1,Alabama,AL,0,,1115,1.94E+00,4.69E-01,3.12E-01,6.87E-01,0,1.98E-08,7.92E-08,1.09E-07,6.11E-08
1117,3A,1.938821038,0.323438216,0.319657208,0.687173942,2.83E+06,1.70E+07,6.02E+06,"Shelby County, Alabama",36%,Y,1117,1,Alabama,AL,0,,1117,1.94E+00,3.23E-01,3.20E-01,6.87E-01,0,1.98E-08,4.97E-08,2.50E-08,6.11E-08
1119,3A,2.238038167,0.459832289,0.331428423,0.687173942,4.03E+06,1.96E+07,6.02E+06,"Sumter County, Alabama",51%,Y,1119,1,Alabama,AL,0,,1119,2.24E+00,4.60E-01,3.31E-01,6.87E-01,0,7.48E-08,2.42E-08,6.94E-08,6.11E-08
1121,3A,1.938821038,0.551253802,0.315897988,0.517070952,4.83E+06,1.70E+07,4.53E+06,"Talladega County, Alabama",61%,Y,1121,1,Alabama,AL,0,,1121,1.94E+00,5.51E-01,3.16E-01,5.17E-01,0,1.98E-08,3.92E-09,3.80E-08,9.28E-08
1123,3A,1.938821038,0.566045911,0.360806714,0.517070952,4.96E+06,1.70E+07,4.53E+06,"Tallapoosa County, Alabama",63%,Y,1123,1,Alabama,AL,0,,1123,1.94E+00,5.66E-01,3.61E-01,5.17E-01,0,1.98E-08,1.99E-08,3.88E-08,9.28E-08
1125,3A,2.238038167,0.466089864,0.289122152,0.687173942,4.08E+06,1.96E+07,6.02E+06,"Tuscaloosa County, Alabama",52%,Y,1125,1,Alabama,AL,0,,1125,2.24E+00,4.66E-01,2.89E-01,6.87E-01,0,7.48E-08,7.78E-08,1.66E-07,6.11E-08
1127,3A,2.238038167,0.464891528,0.284985044,0.687173942,4.07E+06,1.96E+07,6.02E+06,"Walker County, Alabama",52%,Y,1127,1,Alabama,AL,0,,1127,2.24E+00,4.65E-01,2.85E-01,6.87E-01,0,7.48E-08,6.12E-08,1.54E-07,6.11E-08
1129,3A,1.938821038,0.563101973,0.321727441,0.517070952,4.93E+06,1.70E+07,4.53E+06,"Washington County, Alabama",62%,Y,1129,1,Alabama,AL,0,,1129,1.94E+00,5.63E-01,3.22E-01,5.17E-01,0,1.98E-08,4.75E-08,1.27E-07,9.28E-08
1131,3A,1.938821038,0.469598966,0.366210224,0.687173942,4.11E+06,1.70E+07,6.02E+06,"Wilcox County, Alabama",52%,Y,1131,1,Alabama,AL,0,,1131,1.94E+00,4.70E-01,3.66E-01,6.87E-01,0,1.98E-08,7.18E-08,6.55E-08,6.11E-08
1133,3A,2.238038167,0.452236885,0.289056526,0.687173942,3.96E+06,1.96E+07,6.02E+06,"Winston County, Alabama",50%,Y,1133,1,Alabama,AL,0,,1133,2.24E+00,4.52E-01,2.89E-01,6.87E-01,0,7.48E-08,3.36E-08,8.99E-08,6.11E-08
4001,5B,6.371103676,0.308282249,11.6228404,287.7639297,2.70E+06,5.58E+07,2.52E+09,"Apache County, Arizona",34%,Y,4001,4,Arizona,AZ,0,,4001,6.37E+00,3.08E-01,1.16E+01,2.88E+02,0,5.09E-08,1.59E-07,3.44E-08,1.03E-07
4003,3B,6.361562346,0.344073023,59.62040312,287.7639297,3.01E+06,5.57E+07,2.52E+09,"Cochise County, Arizona",38%,Y,4003,4,Arizona,AZ,0,,4003,6.36E+00,3.44E-01,5.96E+01,2.88E+02,0,5.44E-08,6.62E-08,5.23E-08,1.03E-07
4005,5B,8.025729031,0.291099907,18.67727822,678.0035231,2.55E+06,7.03E+07,5.94E+09,"Coconino County, Arizona",32%,G,4005,4,Arizona,AZ,0,,4005,8.03E+00,2.91E-01,1.87E+01,6.78E+02,0,3.92E-09,2.49E-08,9.53E-08,3.41E-08
4007,4B,6.554449985,0.391171852,3.089081401,287.7639297,3.43E+06,5.74E+07,2.52E+09,"Gila County, Arizona",43%,Y,4007,4,Arizona,AZ,0,,4007,6.55E+00,3.91E-01,3.09E+00,2.88E+02,0,2.35E-09,1.22E-07,1.30E-07,1.03E-07
4009,3B,11.31720899,0.391171852,10.12385522,287.7639297,3.43E+06,9.91E+07,2.52E+09,"Graham County, Arizona",43%,Y,4009,4,Arizona,AZ,0,,4009,1.13E+01,3.91E-01,1.01E+01,2.88E+02,0,8.95E-08,1.22E-07,4.72E-07,1.03E-07
4011,3B,8.013881861,0.391171852,5.723082638,287.7639297,3.43E+06,7.02E+07,2.52E+09,"Greenlee County, Arizona",43%,Y,4011,4,Arizona,AZ,0,,4011,8.01E+00,3.91E-01,5.72E+00,2.88E+02,0,1.73E-08,1.22E-07,6.33E-08,1.03E-07
4012,2B,20.85069278,0.293789488,100,678.0035231,2.57E+06,1.83E+08,5.94E+09,"La Paz County, Arizona",33%,G,4012,4,Arizona,AZ,0,,4012,2.09E+01,2.94E-01,1.00E+02,6.78E+02,0,1.33E-07,3.94E-08,0.00E+00,3.41E-08
4013,2B,8.270190776,0.263614172,100,890.2527972,2.31E+06,7.25E+07,7.80E+09,"Maricopa County, Arizona",29%,G,4013,4,Arizona,AZ,0,,4013,8.27E+00,2.64E-01,1.00E+02,8.90E+02,0,2.71E-08,1.07E-07,0.00E+00,3.19E-09
4015,3B,6.370447724,0.324062908,100,287.7639297,2.84E+06,5.58E+07,2.52E+09,"Mohave County, Arizona",36%,Y,4015,4,Arizona,AZ,0,,4015,6.37E+00,3.24E-01,1.00E+02,2.88E+02,0,4.34E-08,2.61E-08,0.00E+00,1.03E-07
4017,5B,6.371103676,0.331657131,10.22449409,287.7639297,2.91E+06,5.58E+07,2.52E+09,"Navajo County, Arizona",37%,Y,4017,4,Arizona,AZ,0,,4017,6.37E+00,3.32E-01,1.02E+01,2.88E+02,0,5.09E-08,9.46E-08,4.00E-07,1.03E-07
4019,2B,8.013007258,0.294939023,100,678.0035231,2.58E+06,7.02E+07,5.94E+09,"Pima County, Arizona",33%,G,4019,4,Arizona,AZ,0,,4019,8.01E+00,2.95E-01,1.00E+02,6.78E+02,0,3.22E-08,7.95E-08,0.00E+00,3.41E-08
4021,2B,8.270190776,0.291345607,100,678.0035231,2.55E+06,7.25E+07,5.94E+09,"Pinal County, Arizona",32%,G,4021,4,Arizona,AZ,0,,4021,8.27E+00,2.91E-01,1.00E+02,6.78E+02,0,2.71E-08,2.32E-08,0.00E+00,3.41E-08
4023,3B,8.013007258,0.571154743,41.87634957,447.4957541,5.00E+06,7.02E+07,3.92E+09,"Santa Cruz County, Arizona",63%,Y,4023,4,Arizona,AZ,0,,4023,8.01E+00,5.71E-01,4.19E+01,4.47E+02,0,3.22E-08,7.46E-08,1.03E-08,1.03E-07
4025,4B,11.31720899,0.295762531,7.475159331,678.0035231,2.59E+06,9.91E+07,5.94E+09,"Yavapai County, Arizona",33%,G,4025,4,Arizona,AZ,0,,4025,1.13E+01,2.96E-01,7.48E+00,6.78E+02,0,8.95E-08,1.04E-07,4.43E-08,3.41E-08
4027,2B,11.31720899,0.370461341,100,287.7639297,3.25E+06,9.91E+07,2.52E+09,"Yuma County, Arizona",41%,Y,4027,4,Arizona,AZ,0,,4027,1.13E+01,3.70E-01,1.00E+02,2.88E+02,0,8.95E-08,1.10E-07,0.00E+00,1.03E-07
5001,3A,1.569582367,0.550535062,1.416130476,1.392822715,4.82E+06,1.38E+07,1.22E+07,"Arkansas County, Arkansas",61%,Y,5001,5,Arkansas,AR,0,,5001,1.57E+00,5.51E-01,1.42E+00,1.39E+00,0,2.34E-07,6.93E-08,3.36E-07,2.05E-07
5003,3A,1.569582367,0.548152267,0.56634925,1.392822715,4.80E+06,1.38E+07,1.22E+07,"Ashley County, Arkansas",61%,Y,5003,5,Arkansas,AR,0,,5003,1.57E+00,5.48E-01,5.66E-01,1.39E+00,0,2.34E-07,6.02E-08,8.83E-08,2.05E-07
5005,4A,1.569582367,0.55100357,0.457933897,1.392822715,4.83E+06,1.38E+07,1.22E+07,"Baxter County, Arkansas",61%,Y,5005,5,Arkansas,AR,0,,5005,1.57E+00,5.51E-01,4.58E-01,1.39E+00,0,2.34E-07,5.38E-08,6.55E-09,2.05E-07
5007,4A,1.393860003,0.459460675,0.507384411,40.56442942,4.02E+06,1.22E+07,3.55E+08,"Benton County, Arkansas",51%,Y,5007,5,Arkansas,AR,0,,5007,1.39E+00,4.59E-01,5.07E-01,4.06E+01,0,2.49E-09,5.42E-08,2.17E-08,1.42E-08
5009,4A,1.481721185,0.545828392,0.476716154,1.392822715,4.78E+06,1.30E+07,1.22E+07,"Boone County, Arkansas",61%,Y,5009,5,Arkansas,AR,0,,5009,1.48E+00,5.46E-01,4.77E-01,1.39E+00,0,1.25E-07,1.55E-08,9.65E-08,2.05E-07
5011,3A,1.569582367,0.384595298,0.409708228,1.392822715,3.37E+06,1.38E+07,1.22E+07,"Bradley County, Arkansas",43%,Y,5011,5,Arkansas,AR,0,,5011,1.57E+00,3.85E-01,4.10E-01,1.39E+00,0,2.34E-07,4.12E-09,6.83E-08,2.05E-07
5013,3A,1.569582367,0.4084683,0.443949633,1.392822715,3.58E+06,1.38E+07,1.22E+07,"Calhoun County, Arkansas",45%,Y,5013,5,Arkansas,AR,0,,5013,1.57E+00,4.08E-01,4.44E-01,1.39E+00,0,2.34E-07,3.55E-10,7.43E-08,2.05E-07
5015,4A,1.481721185,0.460069953,0.452184429,40.56442942,4.03E+06,1.30E+07,3.55E+08,"Carroll County, Arkansas",51%,Y,5015,5,Arkansas,AR,0,,5015,1.48E+00,4.60E-01,4.52E-01,4.06E+01,0,1.25E-07,1.02E-07,6.41E-08,1.42E-08
5017,3A,1.569582367,0.537447214,3.232971404,1.392822715,4.71E+06,1.38E+07,1.22E+07,"Chicot County, Arkansas",60%,Y,5017,5,Arkansas,AR,0,,5017,1.57E+00,5.37E-01,3.23E+00,1.39E+00,0,2.34E-07,2.63E-08,1.25E-07,2.05E-07
5019,3A,1.569582367,0.545999122,0.324194066,1.392822715,4.78E+06,1.38E+07,1.22E+07,"Clark County, Arkansas",61%,Y,5019,5,Arkansas,AR,0,,5019,1.57E+00,5.46E-01,3.24E-01,1.39E+00,0,2.34E-07,4.00E-08,1.05E-07,2.05E-07
